,host_id,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,number_of_reviews,inventory,total_average
2015-06-01,18478585.61983471,37202.09917355372,36.16191284167008,-86.76843044940732,4.223140495867769,1.4338842975206612,1.6198347107438016,2.0330578512396693,163.11570247933884,1.859504132231405,1.5454545454545454,889.5537190082645,17.206611570247933,121,248302.8
2015-07-01,15885418.292260062,37202.20309597523,36.15722212364053,-86.76731578613877,4.607430340557276,1.4928792569659444,1.758513931888545,2.3089783281733745,202.34922600619194,2.161609907120743,1.6984520123839009,838.2037151702787,16.53622291021672,1615,250573.92
2015-10-01,18578265.698578198,37201.41848341232,36.15656393831748,-86.76738954163355,4.7957345971563985,1.5222748815165876,1.8,2.4061611374407583,200.52417061611374,2.2,1.7478672985781991,836.0943127962086,17.71563981042654,2110,258221.84
2016-09-01,29940631.743973147,37200.01098565762,36.15557622970529,-86.76394593163322,5.105584375953616,1.5666768385718646,1.8834299664327128,2.602990540128166,196.31492218492522,2.358559658223985,2.0631675312786086,656141.1647848642,25.443698504729937,3277,286736.04
2017-09-01,50421651.30476369,37200.22205551388,36.15865773110353,-86.76778032033943,5.366466616654163,1.6477869467366841,1.9566766691672919,2.836834208552138,209.0136909227307,2.710240060015004,2.117404351087772,404179.7968867217,31.94317329332333,5332,315522.64
2018-04-01,60673858.843491636,37201.87733128245,36.158234934835825,-86.76976847486021,5.611228609882715,1.6887137089021342,1.946164199192463,3.054797154393386,214.79253989617382,2.973466641030571,2.2978273408959815,717.5172082291867,38.09959623149394,5201,328666.16
2018-05-01,61766449.149142854,37202.64171428572,36.15871063325839,-86.76985482771943,5.621904761904762,1.684,1.937142857142857,3.071047619047619,213.06533333333334,2.9634285714285715,2.272190476190476,697.8245714285714,39.96114285714286,5250,329114.84
2018-07-01,65724200.65112009,37202.32959970621,36.15996053137551,-86.76966352107797,5.721997796547925,1.7052882849798017,1.9651120088138083,3.1149467499081895,212.88854204921043,3.033235402130004,2.2622107969151672,702.2838780756518,40.9412412780022,5446,330742.8
2018-08-01,67845363.77719846,37202.03649635037,36.15961610555046,-86.76932245369602,5.727320125130344,1.7029023288147376,1.9641988182134167,3.102363573166493,213.64598540145985,3.0326729231838723,3.0467500868960724,373898.9111922141,40.98818213416754,5754,331859.8
2018-09-01,68450535.2592144,37201.92126665513,36.159398953350994,-86.76883763699236,5.703062813635577,1.6957951202630213,1.9634884928188268,3.09880602180308,210.7861221664648,3.0145353867451115,3.238449558747188,372299.88683163177,42.363730749264576,5779,332825.48
2018-10-01,70020599.18101244,37208.39747741605,36.15982413641192,-86.76919435051542,5.707687063235044,1.6983978183057782,1.959604567922277,3.008181353332197,214.89193795807057,2.920231805011079,3.4019089824441795,366724.8362024885,43.870121015851375,5867,333489.56
2018-11-01,70495113.44705287,37202.30298935991,36.15992099601373,-86.76896617128813,5.718966390812363,1.7020773517986827,1.9645330180712717,3.0665428137138995,212.72352643134604,2.9341327478466477,3.4847154196926193,696.2638067893937,45.61628103360919,5921,333687.6
2018-12-01,70968682.41617224,37202.311578233595,36.15956921634648,-86.76976098807856,5.751483302254619,1.696389218511612,1.963383624343109,3.0823868452280045,212.95050008476014,2.9630445838277675,3.3471774877097813,704.3185285641634,47.10239023563316,5899,333652.48
2019-01-01,72219818.33044349,37202.033177725905,36.15951634610068,-86.76993362732804,5.788929643214405,1.70756918972991,2.0715238412804267,3.128042680893631,229.55018339446482,3.0108369456485495,3.456485495165055,701.9168056018673,46.67855951983994,5998,334116.84
2019-02-01,73155480.2330852,37202.103722084365,36.159445945720044,-86.76964869979228,5.814888337468982,1.7124069478908188,2.0716294458229942,3.1475599669148058,230.32125723738628,3.01025641025641,3.4173697270471464,701.3849462365591,46.975847808105875,6045,335134.4
2019-03-01,74849157.36828479,37202.15663430421,36.15983400809055,-86.76936820550146,5.841909385113269,1.7309061488673139,1.9996763754045308,3.204368932038835,252.24417475728154,2.9915857605177996,3.469255663430421,692.6990291262136,46.617637540453075,6180,336031.0
2019-04-01,77334665.44345146,37203.84791987673,36.16041228351302,-86.76957336825863,5.870107858243451,1.7242681047765793,1.9918335901386748,3.225115562403698,264.32187981510015,2.9822804314329736,3.347457627118644,675.7959938366718,47.07272727272727,6490,336682.36
2019-05-01,81303385.23311451,37203.51772428884,36.16084485630921,-86.76897678336971,5.8570386579139315,1.7342815463165573,1.9963530269876002,3.2040846097738878,264.7708242159008,2.87892049598833,3.310576221735959,669.3896425966448,46.81196207148067,6855,337897.12
2019-06-01,83677235.30580293,37203.46380350474,36.160117912955975,-86.76928776213737,5.911088767595518,1.7429617925883367,2.0024418270611894,3.2691755242746336,263.55012927319734,2.920856075840276,3.2815282964665324,674.1762424590635,47.75438092502154,6962,339705.28
2019-07-01,84364327.8705046,37203.51923613047,36.16071132422632,-86.7688913465292,5.93880680234179,1.7464454976303319,2.0015333147477,3.2499303038751046,263.8003902982994,2.893225536660162,3.2638695288541957,666.8310565932534,48.18511290772233,7174,341150.16
2019-08-01,86617528.75736111,37207.37666666666,36.16095555277775,-86.76832672500025,5.941111111111111,1.7586111111111111,2.0130555555555554,3.267916666666667,265.2263888888889,2.861666666666667,3.285277777777778,664.1570833333334,49.434583333333336,7200,342292.96
2019-09-01,88358348.28691114,37202.3190495811,36.16140783310268,-86.76844762532596,6.0015107814860595,1.772833402005219,2.026370004120313,3.323169894245296,269.0284301606922,2.8566131025957975,3.2978986402966624,669.2598544156023,50.49842054662821,7281,343315.16
