,host_id,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,number_of_reviews,inventory,total_average
2019-10-01,90358450.34414,37202.471513836135,36.161289700217004,-86.76923412913749,6.027672273467173,1.7814026044492675,2.0297069994574066,3.337086272381986,269.41250678241994,2.891616928920239,3.4157623440043405,673.212289744981,51.54449267498644,7372,344962.96
2019-11-01,92622860.16698216,37205.95795024338,36.16092976886876,-86.76936282449984,6.02947539210384,1.790562466197945,2.0294753921038398,3.3612763656030284,287.23837209302326,2.8643861546782046,3.5636830719307735,674.506354786371,53.28812871822607,7396,347060.04
2019-12-01,93854224.29709178,37206.17462646745,36.160926576490354,-86.76934421846141,6.072972251867663,1.7948906083244398,2.0382870864461045,3.4010138740661686,298.91702241195304,2.860058697972252,3.5983191035218782,674.3006937033084,53.41008537886873,7496,348736.72
2020-01-01,94814631.52571276,37202.28137490008,36.161107034468124,-86.76908174272347,6.08566480149214,1.7951638689048761,2.0398347988276044,3.4074074074074074,308.03583799626966,2.8942179589661605,3.685318411937117,673.3329336530776,54.235678124167336,7506,350899.6
2020-02-01,96832227.50409295,37206.45959862688,36.161288918366395,-86.76985877538009,6.154871930287827,1.8282281489305519,2.0678637443886982,3.495642989173488,331.82057037232636,2.908106680749934,3.8267758119883815,669.9121996303143,54.5042249801954,7574,353054.2
2020-03-01,97936901.89060438,37206.50329902349,36.161109750651015,-86.76987026582289,6.193058854579045,1.8482449195038269,2.0823436262866193,3.554235946159937,350.96753760886776,2.891264185801003,3.9407495381367115,667.9928741092637,54.42161520190024,7578,356277.92
2020-04-01,99971674.15061861,37202.764254975795,36.161175495000585,-86.76953039662838,6.124260355029586,1.8386229155459926,2.0619956966110813,3.5285099515868747,340.86336740182895,2.914470145239376,4.248251748251748,666.5385960193653,53.51775147928994,7436,359024.52
2020-05-01,100937168.50329639,37202.70009819049,36.16109158531464,-86.76982447088247,6.200168326553514,1.8652686211249825,2.079113480151494,3.589844297938,345.0970683125263,2.907700939823257,4.218263431056249,671.2825080656473,52.307336232290645,7129,361685.52
2020-06-01,101965619.1745035,37202.888726635516,36.16105092873822,-86.76967580461455,6.200204439252336,1.863828855140187,2.073306074766355,3.6155081775700935,363.9207067757009,2.8917932242990654,4.220648364485982,672.0813376168225,51.86536214953271,6848,363982.2
2020-07-01,101593996.42698817,37203.05137037592,36.161035247865854,-86.77011799910157,6.2026359143327845,1.8666317208327092,1.0,2.0,150.0,2.8818331586041634,2.0,1125.0,51.420997453946384,6677,366572.64
2020-08-01,104404850.34196807,37202.2953730857,36.161293523949254,-86.76949836102987,6.275333985011405,1.0,2.2202671880091236,3.6902899967416096,215.93494134897364,1.0,4.996578690127077,668.3675464320626,54.67236884978821,6138,369448.72
2020-09-01,105015540.64148465,37202.071604532764,36.161315168336465,-86.76936537362474,6.308589259320085,1.0,2.2376416488750204,3.726884545902447,217.2359533585153,1.0,5.232714731483002,670.5268516997864,54.15355559205124,6089,372574.4
2020-10-01,108926374.19639908,37202.053518334986,36.16107622041105,-86.7695606784977,6.2801453584407,1.0,2.230095804426825,3.7157251404030394,212.63032705649158,1.0,5.341427155599604,677.0508754542451,53.89345887016848,6054,375489.12
2020-11-01,111714781.7800774,37202.33922261484,36.160838967498215,-86.77011684836921,6.2327107521453815,1.0,2.2189130068988727,3.6932525660440856,211.5241460541814,1.0,5.443210499747602,671.4203264344607,54.23540299512031,5943,378282.36
2020-12-01,117999822.45634857,37202.1576979353,36.1603001798732,-86.76927749355342,6.199804909770769,1.0,2.2147618273451473,3.6462363843277514,212.37286782636968,1.0,7.771094131035604,666.1112014306617,53.62884083888799,6151,381649.48
2021-01-01,119130803.77144729,37201.97838899803,36.16019226796122,-86.76910058692295,6.204158480681074,1.0,2.220530451866405,3.650294695481336,225.4232154551408,1.0,7.493942370661427,659.3778650949574,54.54436804191224,6108,384369.8
2021-02-01,122076379.78195734,37202.11252239049,36.16035955544682,-86.76879626119546,6.232861097541117,1.0,2.229115779189057,3.6661781468816153,233.08353688324377,1.0,7.771535580524344,654.2721055202736,54.16039732942517,6141,387076.52
