,avg_home_value,beds,number_of_reviews,price
2015-06-01,198388.0,2.0330578512396693,17.206611570247933,163.11570247933884
2015-07-01,199865.0,2.3089783281733745,16.53622291021672,202.34922600619197
2015-10-01,204617.0,2.4061611374407583,17.715639810426538,200.5241706161137
2016-09-01,224658.0,2.602990540128166,25.443698504729934,196.3149221849252
2017-09-01,249172.0,2.8368342085521383,31.943173293323326,209.0136909227307
2018-04-01,262160.0,3.0547971543933863,38.09959623149393,214.79253989617385
2018-05-01,263200.0,3.0710476190476186,39.96114285714286,213.0653333333333
2018-07-01,265646.0,3.114946749908189,40.9412412780022,212.88854204921043
2018-08-01,267141.0,3.1023635731664934,40.98818213416754,213.64598540145985
2018-09-01,268481.0,3.0986329814846862,42.363730749264576,210.7861221664648
2018-10-01,269740.0,3.0001706484641635,43.92252559726962,214.12952218430038
2018-11-01,270601.0,3.066373923323763,45.61628103360919,212.72352643134602
2018-12-01,271199.0,3.0822173249703337,47.10239023563315,212.95050008476014
2019-01-01,271835.0,3.1278759586528837,46.678559519839936,229.5501833944648
2019-02-01,272519.0,3.147394540942928,46.975847808105875,230.32125723738628
2019-03-01,273319.0,3.2038834951456314,46.61763754045308,252.24417475728157
2019-04-01,273929.0,3.2249961473262445,47.079981507165975,264.2618277084297
2019-05-01,274656.0,3.20396848555588,46.81879194630873,264.71403559964983
2019-06-01,275588.0,3.269070535842552,47.76124120097687,263.49403821290036
2019-07-01,276659.0,3.2498257353966262,48.19183047539385,263.7459919141224
2019-08-01,277592.0,3.2648776418242482,49.4837319243604,263.30061179087875
2019-09-01,278427.0,3.3230325504738367,50.49842054662821,269.02843016069215
2019-10-01,279309.0,3.336950623982637,51.54449267498644,269.41250678242
2019-11-01,280372.0,3.3583705508187847,53.33631073216944,285.4375422925972
2019-12-01,281289.0,3.3991187074375757,53.45146214447857,297.15102149819734
2020-01-01,282420.0,3.4075949367088607,54.23384410393072,306.744437041972
2020-02-01,283604.0,3.4910702473872206,54.59796269347797,319.87008863606303
2020-03-01,285216.0,3.5495435904220134,54.52692155046964,333.94946421484326
2020-04-01,286807.0,3.5271724509012645,53.52999730965833,338.2649986548292
2020-05-01,288677.0,3.588747018380805,52.322014873018105,342.3879612740283
2020-06-01,290436.0,3.6158901708777567,51.87235285526507,362.58638819921134
2020-07-01,292234.0,3.601317957166392,51.41800209675004,259.0359727422496
2020-08-01,294138.0,3.690014660368138,54.66346310474019,215.9136129662812
2020-09-01,296361.0,3.728287637497948,54.13675915284846,217.4135150221638
2020-10-01,298809.0,3.715441783649876,53.884558216350115,212.60924855491334
2020-11-01,301461.0,3.692682926829269,54.21732548359967,211.48208578637508
2020-12-01,304539.0,3.64570128392654,53.61157159109378,212.3355290102389
2021-01-01,307585.0,3.651048492791612,54.549803407601566,195.30733944954127
2021-02-01,310812.0,3.6679159198305364,54.1671826625387,204.76796480365002
