,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
98597,2021-02-20,45202672,297918554,0,37207.0,36.19444,-86.77339,Townhouse,Entire home/apt,12,3.5,5.0,408.0,2.0,365.0,30,60,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15.0,0.0,0.0,1,East_Nashville
98598,2021-02-20,45202865,297918554,0,37207.0,36.19484,-86.77394,Townhouse,Entire home/apt,12,3.5,5.0,408.0,2.0,365.0,27,57,87,3,100.0,10.0,9.0,10.0,10.0,9.0,10.0,1,15.0,0.13150684931506848,1631.9999999999998,1,East_Nashville
98599,2021-02-20,45203006,297918554,0,37207.0,36.1948,-86.77391,Townhouse,Entire home/apt,12,3.5,5.0,265.0,2.0,365.0,30,60,90,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,15.0,0.26301369863013696,2120.0,1,East_Nashville
98600,2021-02-20,45203195,297918554,0,37207.0,36.1964,-86.77453,Townhouse,Entire home/apt,16,3.5,5.0,378.0,2.0,365.0,0,21,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0.0,0.0,1,East_Nashville
98601,2021-02-20,45215009,133671647,1,37203.0,36.15422,-86.77447,Apartment,Entire home/apt,2,1.0,1.0,75.0,1.0,365.0,12,34,54,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.0,0.7,1596.875,1,Downtown
98602,2021-02-20,45224778,70837879,1,37203.0,36.14302,-86.76444000000002,Townhouse,Entire home/apt,10,3.5,7.0,150.0,30.0,90.0,29,59,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1,South_Nashville
98603,2021-02-20,45235039,365432542,0,37207.0,36.19156,-86.7728,Guest suite,Entire home/apt,2,1.0,0.0,125.0,2.0,3.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,East_Nashville
98604,2021-02-19,45237264,365452664,0,37203.0,36.16938,-86.78235,Apartment,Entire home/apt,4,1.0,2.0,197.0,1.0,365.0,0,0,0,8,60.0,7.0,6.0,10.0,9.0,9.0,6.0,0,5.0,0.19594520547945204,1174.1200000000001,1,Downtown
98605,2021-02-19,45237695,365452664,0,37203.0,36.16705,-86.78213000000002,Apartment,Entire home/apt,4,1.0,2.0,163.0,1.0,365.0,0,0,0,3,40.0,5.0,7.0,7.0,5.0,6.0,4.0,0,5.0,0.07232876712328767,358.6,1,Downtown
98606,2021-02-19,45237906,365452664,0,37203.0,36.16768,-86.78187,Apartment,Entire home/apt,6,1.0,3.0,205.0,1.0,365.0,0,0,0,2,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0,5.0,0.05128767123287671,319.8,1,Downtown
