model,fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1
KNN,0.0020022869110107424,0.14180855751037597,0.7166472642607684,0.7362630966239814,0.7403531529544937,0.7510342958412242,0.9153016138007791,0.9308937751841044,0.8185493379115037,0.8313426759218437
Random Forest,0.11979899406433106,0.011727380752563476,0.6912689173457509,0.8097206053550641,0.8123674399745889,0.9134663336499379,0.7255765164162493,0.8035998680005557,0.7664511649312671,0.8549910321718753
Gradient Boosting,0.9182060718536377,0.009000682830810547,0.7809620517097582,0.9316865721903819,0.8106479701631406,0.9215151187737515,0.8232643294379522,0.9437323884952062,0.8014776480197339,0.9324897698940046
XGBoost,0.21580018997192382,0.009199953079223633,0.7769627467333889,0.8732927026185895,0.8066441498977657,0.8547535227646856,0.82560489705064,0.8992181464499097,0.799669391025123,0.8763756135644927
